name_c,name_j,name_e,category,filename,obtainedFrom,sell,buy,tag,themes
抽象藝術牆,アブストラクトなかべ,abstract wall,壁紙,RoomTexWallAbstract00,Nook商店,390,1560,布塊牆,"['商店', '設施']"
埃及牆,エジプトなかべ,ancient wall,壁紙,RoomTexWallEgypt00,駱嵐,750,3000,亞洲,"['民間藝術', '恐怖']"
蘋果壁紙,リンゴのかべがみ,apple wall,壁紙,RoomTexWallApple00,DIY,4000,,水果牆,"['豪華時髦的', '兒童房']"
水藍色磚牆,みずいろタイルのかべ,aqua tile wall,壁紙,RoomTexWallTile01,Nook商店,355,1420,瓷磚牆,"['浴室', '設施']"
美麗玻璃牆,きれいなガラスのかべ,arched-window wall,壁紙,RoomSpWallGlass00,Nook商店,537,2150,特殊牆,"['商店', '昂貴']"
楓葉牆,こうようのかべ,autumn wall,壁紙,RoomSpWallAutumun00,DIY,4700,,特殊的自然牆,['花園']
後院牆,うらにわのかべ,backyard-fence wall,壁紙,RoomSpWallBackyard00,駱嵐,750,3000,特酷自然牆,['花園']
竹子牆,バンブーなかべ,bamboo wall,壁紙,RoomTexWallBamboo00,DIY,2400,,自然牆,['禪宗風格']
竹林牆,ちくりんのかべ,bamboo-grove wall,壁紙,RoomTexWallChikurin00,DIY,4300,,自然牆,['禪宗風格']
竹簾牆,すだれのかべ,bamboo-screen wall,壁紙,RoomTexWallRattan00,Nook商店,442,1770,木牆,['禪宗風格']
銀行保險箱牆,かしきんこのかべ,bank-vault wall,壁紙,RoomTexWallSafeBox00,駱嵐,750,3000,鐵牆,"['設施', '昂貴']"
簡約壁板牆,シンプルパネルのかべ,basic wall,壁紙,RoomSpWallSimplePanel00,Nook商店,150,600,特殊牆,"['辦公室', '設施']"
珠簾牆,たまのれんのかべ,beaded-curtain wall,壁紙,RoomTexWallBeadsCurtain00,Nook商店,430,1720,布塊牆,"['商店', '廚房']"
米色裝飾線板壁紙,ベージュのアールデコかべがみ,beige art-deco wall,壁紙,RoomTexWallArtDeco00,Nook商店,695,2780,裝飾藝術牆,"['兒童房', '客廳']"
米色花草圖案牆,ベージュのくさばなもようのかべ,beige blossoming wall,壁紙,RoomTexWallCountry00,Nook商店,440,1760,鄉村,"['豪華時髦的', '客廳']"
米色摩洛哥磚牆,ベージュのモロッカンタイルかべ,beige desert-tile wall,壁紙,RoomTexWallMorocco00,Nook商店,610,2440,摩洛哥,"['浴室', '設施']"
黑色植物圖案磚牆,くろいボタニカルタイルのかべ,black botanical-tile wall,壁紙,RoomTexWallWoodTile03,Nook商店,310,1240,木瓷磚牆,"['設施', '昂貴']"
黑色大廳牆,くろいホールのかべ,black hallway wall,壁紙,RoomTexWallHall03,Nook商店,500,2000,大廳牆,"['設施', '音樂']"
黑色洞洞板牆,くろいパンチングボードのかべ,black perforated-board wall,壁紙,RoomTexWallPegboard02,Nook商店,295,1180,釘板牆,"['音樂', '設施']"
灰階配色撞色磚牆,モノクロツートンタイルのかべ,black two-toned tile wall,壁紙,RoomTexWallTwoToneTile06,Nook商店,462,1850,兩色瓷磚牆,"['浴室', '設施']"
黑色磚塊牆,くろレンガのかべ,black-brick wall,壁紙,RoomTexWallBrick02,Nook商店,250,1000,磚,"['設施', '商店']"
黑色皇冠壁紙,ブラッククラウンのかべがみ,black-crown wall,壁紙,RoomTexWallCrown01,Nook商店,587,2350,皇冠牆,['昂貴']
黑板牆,こくばんのかべ,blackboard wall,壁紙,RoomTexWallBlackBoard00,駱嵐,750,3000,neta牆,"['商店', '學校']"
藍色花草圖案牆,あおいくさばなもようのかべ,blue blossoming wall,壁紙,RoomTexWallCountry02,Nook商店,440,1760,鄉村,"['豪華時髦的', '客廳']"
藍色迷彩壁紙,ブルーめいさいのかべがみ,blue camo wall,壁紙,RoomTexWallCamouflage01,Nook商店,287,1150,迷彩,"['派對', '兒童房']"
藍色碎花壁紙,あおいこばながらのかべがみ,blue delicate-blooms wall,壁紙,RoomTexWallManor03,Nook商店,475,1900,莊園牆,"['昂貴', '客廳']"
藍色摩洛哥磚牆,ブルーのモロッカンタイルかべ,blue desert-tile wall,壁紙,RoomTexWallMorocco01,Nook商店,610,2440,摩洛哥,"['浴室', '設施']"
藍色餐館牆,あおいダイナーのかべ,blue diner wall,壁紙,RoomTexWallDiner00,Nook商店,605,2420,餐館牆,"['豪華時髦的', '商店']"
藍色花紋壁紙,ブルーのはながらかべがみ,blue flower-print wall,壁紙,RoomTexWallFlower03,Nook商店,445,1780,花牆,"['豪華時髦的', '客廳']"
藍色愛心壁紙,ブルーハートのかべがみ,blue heart-pattern wall,壁紙,RoomTexWallHeart00,Nook商店,320,1280,心牆,"['豪華時髦的', '兒童房']"
藍色六角磚牆,あおいハニカムタイルのかべ,blue honeycomb-tile wall,壁紙,RoomTexWallHoneycomb01,Nook商店,420,1680,蜂窩,"['浴室', '設施']"
藍色布牆,あおいテキスタイルのかべ,blue intricate wall,壁紙,RoomTexWallFlowerPop00,Nook商店,392,1570,布牆,"['客廳', '商店']"
藍色線板牆,あおいパネルモールドかべ,blue molded-panel wall,壁紙,RoomTexWallPanelMold01,Nook商店,495,1980,線板牆,"['昂貴', '商店']"
藍色油漆木牆,あおいペイントウッドのかべ,blue painted-wood wall,壁紙,RoomTexWallPaintWood00,Nook商店,412,1650,彩繪木,"['豪華時髦的', '客廳']"
藍色兒童房壁紙,あおいキッズルームのかべがみ,blue playroom wall,壁紙,RoomTexWallToy00,Nook商店,635,2540,玩具牆,"['兒童房', '豪華時髦的']"
藍色拼布牆,ブルーキルトのかべ,blue quilt wall,壁紙,RoomTexWallDollhouse01,Nook商店,537,2150,拼布牆,"['豪華時髦的', '兒童房']"
藍色鐵皮牆,ブルーのトタンかべ,blue shanty wall,壁紙,RoomTexWallTin02,Nook商店,155,620,鐵皮牆,['車庫']
藍色簡約布面牆,あおいシンプルクロス,blue simple-cloth wall,壁紙,RoomTexWallSimple03,Nook商店,187,750,簡單的牆壁,"['兒童房', '客廳']"
藍色地鐵磚牆,あおいメトロタイルのかべ,blue subway-tile wall,壁紙,RoomTexWallMetro00,Nook商店,335,1340,地鐵牆,"['設施', '商店']"
藍色磚牆,あおいタイルのかべ,blue tile wall,壁紙,RoomTexWallTile03,Nook商店,355,1420,瓷磚牆,"['浴室', '設施']"
藍色撞色磚牆,あおいツートンタイルのかべ,blue two-toned tile wall,壁紙,RoomTexWallTwoToneTile05,Nook商店,462,1850,兩色瓷磚牆,"['浴室', '設施']"
藍色皇冠壁紙,ブルークラウンのかべがみ,blue-crown wall,壁紙,RoomTexWallCrown00,Nook商店,587,2350,皇冠牆,['昂貴']
藍色油漆牆,あおいペイントウォール,blue-paint wall,壁紙,RoomTexWallStucco03,Nook商店,400,1600,灰泥牆,"['豪華時髦的', '客廳']"
藍色玫瑰壁紙,あおいバラのかべがみ,blue-rose wall,壁紙,RoomTexWallRose03,Nook商店,430,1720,玫瑰牆,"['豪華時髦的', '客廳']"
藍色條紋壁紙,ブルーストライプのかべがみ,blue-striped wall,壁紙,RoomTexWallStripe03,Nook商店,380,1520,條紋牆,"['豪華時髦的', '兒童房']"
植物圖案磚牆,ボタニカルタイルのかべ,botanical-tile wall,壁紙,RoomTexWallWoodTile02,Nook商店,310,1240,木瓷磚牆,"['設施', '昂貴']"
棕色植物圖案磚牆,ブラウンボタニカルタイルのかべ,brown botanical-tile wall,壁紙,RoomTexWallWoodTile01,Nook商店,310,1240,木瓷磚牆,"['設施', '昂貴']"
茶色餐館牆,ちゃいろいダイナーのかべ,brown diner wall,壁紙,RoomTexWallDiner03,Nook商店,605,2420,餐館牆,"['豪華時髦的', '商店']"
茶色大廳牆,ちゃいろいホールのかべ,brown hallway wall,壁紙,RoomTexWallHall00,Nook商店,500,2000,大廳牆,"['設施', '音樂']"
茶色人字斜紋牆,ちゃいろいヘリンボーンのかべ,brown herringbone wall,壁紙,RoomTexWallHerringbone00,DIY,1800,,人字斜紋,"['客廳', '商店']"
褐色鐵皮牆,ちゃいろのトタンかべ,brown shanty wall,壁紙,RoomTexWallTin03,Nook商店,155,620,鐵皮牆,['車庫']
茶色磚塊牆,ちゃいろいレンガのかべ,brown-brick wall,壁紙,RoomTexWallBrick03,Nook商店,250,1000,磚,"['設施', '商店']"
棕色皇冠壁紙,ブラウンクラウンのかべがみ,brown-crown wall,壁紙,RoomTexWallCrown03,Nook商店,587,2350,皇冠牆,['昂貴']
復活節壁紙,イースターなかべがみ,Bunny Day wall,壁紙,RoomTexWallEaster00,DIY,4800,,布塊牆,"['豪華時髦的', '兒童房']"
蝴蝶壁紙,バタフライなかべがみ,butterflies wall,壁紙,RoomTexWallInsect00,捕蟲大會,840,,自然牆,"['豪華時髦的', '設施']"
木屋牆,ログハウスのかべ,cabin wall,壁紙,RoomTexWallLog00,DIY,1800,,木牆,"['客廳', '設施']"
咖啡店窗簾牆,カフェカーテンのかべ,café-curtain wall,壁紙,RoomSpWallCafe00,駱嵐,750,3000,特殊牆,"['商店', '昂貴']"
迷彩壁紙,めいさいのかべがみ,camo wall,壁紙,RoomTexWallCamouflage00,Nook商店,287,1150,迷彩,"['派對', '兒童房']"
空地圍欄牆,あきちのかべ,chain-link fence,壁紙,RoomSpWallEmptyLot00,駱嵐,750,3000,特酷自然牆,"['花園', '車庫']"
櫻桃壁紙,さくらんぼのかべがみ,cherry wall,壁紙,RoomTexWallCherry00,DIY,4000,,水果牆,"['兒童房', '豪華時髦的']"
櫻花樹牆,さくらなみきのかべ,cherry-blossom-trees wall,壁紙,RoomSpWallSakura00,DIY,4600,,特殊的自然牆,['花園']
典雅茶室牆,シックなちゃしつのかべ,chic tearoom wall,壁紙,RoomTexWallMud03,Nook商店,437,1750,茶室牆,"['禪宗風格', '商店']"
古典壁紙,クラシックなかべがみ,chic wall,壁紙,RoomTexWallClassic00,Nook商店,490,1960,布塊牆,"['昂貴', '客廳']"
深棕色大廳牆,こげちゃのホールのかべ,chocolate hallway wall,壁紙,RoomTexWallHall01,Nook商店,500,2000,大廳牆,"['設施', '音樂']"
深棕色人字斜紋牆,こげちゃのヘリンボーンのかべ,chocolate herringbone wall,壁紙,RoomTexWallHerringbone01,DIY,1800,,人字斜紋,"['客廳', '商店']"
主機板牆,きばんのかべ,circuit-board wall,壁紙,RoomTexWallGeek00,駱嵐,750,3000,neta牆,['設施']
夜景牆,やけいのかべ,cityscape wall,壁紙,RoomSpWallNightView00,駱嵐,750,3000,特殊牆,"['商店', '昂貴']"
圖書館牆,ライブラリーなかべ,classic-library wall,壁紙,RoomTexWallLibrary00,DIY,1450,,圖書館牆,['書桌']
彩色巧拼壁紙,カラフルパズルかべがみ,colorful puzzle wall,壁紙,RoomTexWallPuzzle01,Nook商店,385,1540,拼圖牆,"['豪華時髦的', '兒童房']"
彩色磚牆,カラフルタイルのかべ,colorful-tile wall,壁紙,RoomTexWallTile02,Nook商店,355,1420,瓷磚牆,"['浴室', '設施']"
常見牆,よくあるかべ,common wall,壁紙,RoomTexWallCommon00,Nook商店,200,800,石牆,"['客廳', '學校']"
混凝土牆,コンクリートのかべ,concrete wall,壁紙,RoomTexWallConcrete00,Nook商店,235,940,石牆,"['車庫', '設施']"
施工現場牆,こうじげんばのかべ,construction-site wall,壁紙,RoomTexWallBlueSheet00,駱嵐,750,3000,neta牆,"['車庫', '設施']"
縐紗紋壁紙,ちりめんもようのかべがみ,crepe-design wall,壁紙,RoomTexWallCrepe00,Nook商店,387,1550,日式,['禪宗風格']
藍色可愛牆,ブルーなキュートのかべ,cute blue wall,壁紙,RoomTexWallCute02,Nook商店,470,1880,可愛牆,"['豪華時髦的', '兒童房']"
紅色可愛牆,あかいキュートなかべ,cute red wall,壁紙,RoomTexWallCute01,Nook商店,470,1880,可愛牆,"['豪華時髦的', '兒童房']"
白色可愛牆,しろいキュートなかべ,cute white wall,壁紙,RoomTexWallCute00,Nook商店,470,1880,可愛牆,"['豪華時髦的', '兒童房']"
黃色可愛牆,きいろいキュートなかべ,cute yellow wall,壁紙,RoomTexWallCute03,Nook商店,470,1880,可愛牆,"['豪華時髦的', '兒童房']"
深色嵌木牆,ダークなよせぎのかべ,dark wooden-mosaic wall,壁紙,RoomTexWallMixPlankWood01,DIY,1800,,木板牆,"['客廳', '商店']"
黑巧克力牆,ビターチョコなかべ,dark-chocolate wall,壁紙,RoomTexWallChocolate00,駱嵐,750,3000,巧克力,['豪華時髦的']
沙漠牆,さばくなかべ,desert vista,壁紙,RoomSpWallDesert00,駱嵐,750,3000,特酷自然牆,['民間藝術']
地層壁紙,ちそうのかべがみ,dig-site wall,壁紙,RoomTexWallStratum00,駱嵐,750,3000,石牆,"['花園', '恐怖']"
破爛泥土牆,ボロいつちかべ,dirt-clod wall,壁紙,RoomTexWallOldSoil00,Nook商店,50,200,石牆,['恐怖']
練功房牆,けいこべやのかべ,dojo wall,壁紙,RoomTexWallBaseboards00,駱嵐,750,3000,木牆,"['健身', '禪宗風格']"
地牢牆,ちかろうのかべ,dungeon wall,壁紙,RoomSpWallJail00,駱嵐,750,3000,特殊無機牆,['恐怖']
中華風牆,チャイナなかべ,exquisite wall,壁紙,RoomTexWallChina00,駱嵐,750,3000,亞洲,"['禪宗風格', '商店']"
蘑菇森林牆,キノコのもりのかべ,forest wall,壁紙,RoomTexWallMushForest00,DIY,44000,,自然牆,['花園']
超科技牆,オーバーテクノロジーなかべ,future-tech wall,壁紙,RoomSpWallTechnology00,駱嵐,750,3000,特殊無機牆,"['恐怖', '民間藝術']"
垃圾堆牆,ゴミのやまなかべ,garbage-heap wall,壁紙,RoomTexWallGarbage00,DIY,120,,neta牆,"['車庫', '恐怖']"
金箔日式拉門,きんぱくのふすま,gold-screen wall,壁紙,RoomTexWallFusumaGorgeous00,DIY,20750,,日式,"['禪宗風格', '昂貴']"
黃金牆,おうごんのかべ,golden wall,壁紙,RoomTexWallGold00,DIY,40000,,亞洲,"['昂貴', '恐怖']"
白色餐館牆,しろいダイナーのかべ,gray diner wall,壁紙,RoomTexWallDiner02,Nook商店,605,2420,餐館牆,"['豪華時髦的', '商店']"
灰色線板牆,グレーのパネルモールドかべ,gray molded-panel wall,壁紙,RoomTexWallPanelMold02,Nook商店,495,1980,線板牆,"['昂貴', '商店']"
灰色鐵皮牆,グレーのトタンかべ,gray shanty wall,壁紙,RoomTexWallTin00,Nook商店,155,620,鐵皮牆,['車庫']
灰階配色條紋壁紙,モノクロストライプのかべがみ,gray-striped wall,壁紙,RoomTexWallStripe02,Nook商店,380,1520,條紋牆,"['豪華時髦的', '兒童房']"
綠色花草圖案牆,みどりのくさばなもようのかべ,green blossoming wall,壁紙,RoomTexWallCountry03,Nook商店,440,1760,鄉村,"['豪華時髦的', '客廳']"
綠色碎花壁紙,グリーンのこばながらのかべがみ,green delicate-blooms wall,壁紙,RoomTexWallManor02,Nook商店,475,1900,莊園牆,"['昂貴', '客廳']"
綠色花紋壁紙,グリーンのはながらかべがみ,green flower-print wall,壁紙,RoomTexWallFlower01,Nook商店,445,1780,花牆,"['豪華時髦的', '客廳']"
綠色六角磚牆,みどりのハニカムタイルのかべ,green honeycomb-tile wall,壁紙,RoomTexWallHoneycomb02,Nook商店,420,1680,蜂窩,"['浴室', '設施']"
綠色布牆,みどりのテキスタイルのかべ,green intricate wall,壁紙,RoomTexWallFlowerPop02,Nook商店,392,1570,布牆,"['客廳', '商店']"
綠色線板牆,みどりのパネルモールドかべ,green molded-panel wall,壁紙,RoomTexWallPanelMold03,Nook商店,495,1980,線板牆,"['豪華時髦的', '兒童房']"
綠色油漆木牆,みどりのペイントウッドのかべ,green painted-wood wall,壁紙,RoomTexWallPaintWood01,Nook商店,412,1650,彩繪木,"['豪華時髦的', '兒童房']"
綠色兒童房壁紙,みどりのキッズルームのかべがみ,green playroom wall,壁紙,RoomTexWallToy02,Nook商店,635,2540,玩具牆,"['兒童房', '豪華時髦的']"
綠色油漆牆,みどりのペイントウォール,green-paint wall,壁紙,RoomTexWallStucco04,Nook商店,400,1600,灰泥牆,"['豪華時髦的', '客廳']"
迷幻壁紙,サイケなかべがみ,groovy wall,壁紙,RoomTexWallPsyche00,Nook商店,320,1280,布塊牆,['派對']
東方風牆壁,オリエンタルなかべ,harmonious wall,壁紙,RoomTexWallOriental00,Nook商店,445,1780,亞洲,"['禪宗風格', '商店']"
舞台布幕牆,どんちょうのかべ,heavy-curtain wall,壁紙,RoomTexWallThickCurtain00,駱嵐,750,3000,布塊牆,"['音樂', '派對']"
蜂巢牆,ビーハイブなかべ,honeycomb wall,壁紙,RoomTexWallHoney00,DIY,3600,,瓷磚牆,"['豪華時髦的', '設施']"
六角磚牆,ハニカムタイルのかべ,honeycomb-tile wall,壁紙,RoomTexWallHoneycomb00,Nook商店,420,1680,蜂窩,"['浴室', '設施']"
冰雪壁紙,アイスなかべがみ,ice wall,壁紙,RoomSpWallIce00,DIY,8200,,特殊牆,"['雪季', '設施']"
冰山牆,ひょうざんのかべ,iceberg wall,壁紙,RoomTexWallIceFloe00,DIY,4000,,neta牆,['雪季']
宮牆,おうちょうのかべ,imperial wall,壁紙,RoomTexWallDynasty00,駱嵐,750,3000,亞洲,['昂貴']
工廠牆,ファクトリーなかべ,industrial wall,壁紙,RoomTexWallFactory00,駱嵐,750,3000,鐵牆,['設施']
常春藤牆,つたのかべ,ivy wall,壁紙,RoomTexWallIvy00,駱嵐,750,3000,自然牆,"['設施', '商店']"
聖誕牆,クリスマスなかべ,Jingle wall,壁紙,RoomSpWallXmas00,DIY,2500,,特殊牆,"['豪華時髦的', '派對']"
叢林壁紙,ジャングルのかべがみ,jungle wall,壁紙,RoomTexWallJungle00,DIY,1380,,自然牆,"['花園', '設施']"
唇印壁紙,キッスのかべがみ,kisses wall,壁紙,RoomTexWallKiss00,駱嵐,750,3000,布塊牆,"['派對', '豪華時髦的']"
實驗室牆,ラボのかべ,laboratory wall,壁紙,RoomSpWallLabo00,駱嵐,750,3000,特殊無機牆,['設施']
東方風交叉格柵,オリエンタルなラティス,lattice wall,壁紙,RoomTexWallLattice00,Nook商店,445,1780,亞洲,"['禪宗風格', '商店']"
火山洞窟牆,かざんどうくつのかべ,magma-cavern wall,壁紙,RoomSpWallVolcano00,駱嵐,750,3000,特殊的自然牆,['恐怖']
漫畫圖書館牆,マンガライブラリーなかべ,manga-library wall,壁紙,RoomTexWallLibrary01,DIY,1050,,圖書館牆,"['設施', '書桌']"
紅樹林牆,マングローブのかべ,mangrove wall,壁紙,RoomTexWallMangrove00,駱嵐,750,3000,自然牆,['花園']
魚兒壁紙,おサカナのかべがみ,marine pop wall,壁紙,RoomTexWallFish00,活動：釣魚大賽,805,,布塊牆,"['海洋', '兒童房']"
高原牆,こうげんなかべ,meadow vista,壁紙,RoomSpWallHighLands00,駱嵐,750,3000,特酷自然牆,['花園']
毛毛細雨牆,こさめのふるかべ,misty-garden wall,壁紙,RoomSpWallRain00,駱嵐,585,3000,特酷自然牆,['花園']
引人入勝牆,キャッチーなかべ,mod wall,壁紙,RoomTexWallMod00,Nook商店,305,1220,布塊牆,['派對']
現代日式紙拉門,モダンなしょうじ,modern shoji-screen wall,壁紙,RoomSpWallShojiModem00,Nook商店,287,1150,日式,"['禪宗風格', '商店']"
摩登茶室牆,モダンなちゃしつのかべ,modern tearoom wall,壁紙,RoomTexWallMud02,Nook商店,437,1750,茶室牆,"['禪宗風格', '商店']"
拼木牆,ミックスウッドのかべ,modern wood wall,壁紙,RoomTexWallMixwood00,DIY,1800,,木牆,"['客廳', '兒童房']"
灰階配色點點壁紙,モノクロドットのかべがみ,monochromatic dotted wall,壁紙,RoomTexWallDot00,Nook商店,275,1100,點,"['豪華時髦的', '兒童房']"
灰階配色磚牆,モノクロタイルのかべ,monochromatic-tile wall,壁紙,RoomTexWallTile00,Nook商店,355,1420,瓷磚牆,"['浴室', '設施']"
灰泥矮牆,しっくいのへい,mortar wall,壁紙,RoomTexWallPlaster00,駱嵐,750,3000,石牆,['禪宗風格']
馬賽克磚牆,アートモザイクタイルのかべ,mosaic-tile wall,壁紙,RoomTexWallMosaicTile00,Nook商店,362,1450,瓷磚牆,"['浴室', '設施']"
青苔庭園牆,こけにわのかべ,mossy-garden wall,壁紙,RoomTexWallMoss00,駱嵐,750,3000,自然牆,['禪宗風格']
蘑菇壁紙,キノコのかべがみ,mush wall,壁紙,RoomTexWallMush00,DIY,21400,,布塊牆,['豪華時髦的']
Nook Inc.壁紙,たぬきかいはつのかべがみ,Nook Inc. wall,壁紙,RoomTexWallFirst00,購物：哩數兌換,6000,,布塊牆,"['豪華時髦的', '商店']"
水平線牆,すいへいせんのかべ,ocean-horizon wall,壁紙,RoomSpWallHorizon00,駱嵐,750,3000,特酷自然牆,['海洋']
辦公室牆,オフィスのかべ,office wall,壁紙,RoomTexWallOffice00,駱嵐,750,3000,特殊牆,['辦公室']
破爛壁紙,ボロいかべがみ,old wallpaper,壁紙,RoomTexWallOld00,Nook商店,50,200,布塊牆,['恐怖']
黃綠色摩洛哥磚牆,きみどりモロッカンタイルかべ,olive desert-tile wall,壁紙,RoomTexWallMorocco03,Nook商店,610,2440,摩洛哥,"['浴室', '設施']"
