id,name_e,name_j,name_c,category,filename,sell,materials,obtainedFrom,sourceNotes
6,juicy-apple TV,リンゴのテレビ,蘋果電視,家具,FtrFruitsTV_Remake_0_0,200,"[{'count': 10, 'itemName': '蘋果'}, {'count': 2, 'itemName': '鐵礦石'}]","['大姐姐型村民', '狸克']",Obtained during the main storyline during the villager house development quest if the native fruit is apples
9,pear wardrobe,ナシのクロゼット,梨子衣櫃,家具,FtrFruitsClosetLR_Remake_0_0,200,"[{'count': 10, 'itemName': '梨子'}, {'count': 5, 'itemName': '木材'}]","['運動型村民', '狸克']",Obtained during the main storyline during the villager house development quest if the native fruit is pears
10,flimsy axe,ショボいオノ,簡陋斧頭,工具,ToolAxeStone,200,"[{'count': 5, 'itemName': '樹枝'}, {'count': 1, 'itemName': '石頭'}]","['狸克', 'Nook商店']",Obtained through Tom Nook's DIY Workshop at the beginning of the game and can also be purchased at Nook's Cranny
13,campfire,たきび,炊火,家具,FtrBonfire,200,"[{'count': 3, 'itemName': '樹枝'}]",['狸克'],Obtained from Tom Nook after completing his DIY Workshop at the beginning of the game
14,doghouse,いぬごや,狗屋,家具,FtrDoghouse_Remake_0_0,200,"[{'count': 10, 'itemName': '木材'}, {'count': 7, 'itemName': '硬木材'}]",['運動型村民'],
15,wooden chair,もくせいチェア,木製椅,家具,FtrWoodenChairS_Remake_0_0,200,"[{'count': 6, 'itemName': '木材'}]","['狸克', '成熟型村民']",在村民房屋開發任務的主要故事情節中獲得
16,wooden bucket,もくせいのバケツ,木製水桶,家具,FtrBucketWood,200,"[{'count': 3, 'itemName': '木材'}, {'count': 1, 'itemName': '鐵礦石'}]","['狸克', '自戀型村民']",50% chance of being obtained during the main storyline during the villager house development quest
17,wooden chest,もくせいチェスト,木製矮櫃,家具,FtrWoodenChest_Remake_0_0,200,"[{'count': 16, 'itemName': '木材'}]",['悠閒型村民'],
18,wooden simple bed,もくせいシングルベッド,木製單人床,家具,FtrWoodenBedS_Remake_0_0,200,"[{'count': 18, 'itemName': '木材'}]","['狸克', '悠閒型村民']",在村民房屋開發任務的主要故事情節中獲得
19,flimsy shovel,ショボいスコップ,簡陋鏟子,工具,ToolShovelWood,200,"[{'count': 5, 'itemName': '硬木材'}]","['傅達', 'Nook商店']",
20,flimsy watering can,ショボいジョウロ,簡陋澆花壺,工具,ToolWateringWood,200,"[{'count': 5, 'itemName': '軟木材'}]","['狸克', 'Nook商店']",
21,flimsy fishing rod,ショボいつりざお,簡陋釣竿,工具,ToolFishingrodWood,200,"[{'count': 5, 'itemName': '樹枝'}]",['狸克'],Obtained through Tom Nook's DIY Workshop at the beginning of the game
22,flimsy net,ショボいあみ,簡陋捕蟲網,工具,ToolNet,200,"[{'count': 5, 'itemName': '樹枝'}]",['狸克'],Obtained from Tom Nook after completing his DIY Workshop at the beginning of the game
23,wooden-block bench,つみきベンチ,積木長椅,家具,FtrBlockChairL_Remake_0_0,200,"[{'count': 1, 'itemName': '積木玩具'}, {'count': 4, 'itemName': '軟木材'}]",['大姐姐型村民'],
24,wooden-block chest,つみきチェスト,積木矮櫃,家具,FtrBlockChest_Remake_0_0,200,"[{'count': 1, 'itemName': '積木玩具'}, {'count': 12, 'itemName': '軟木材'}]",['普通型村民'],
26,wooden-block table,つみきテーブル,積木桌,家具,FtrBlockTableL_Remake_0_0,200,"[{'count': 1, 'itemName': '積木玩具'}, {'count': 8, 'itemName': '軟木材'}]","['狸克', '大姐姐型村民']",在村民房屋開發任務的主要故事情節中獲得
29,slingshot,パチンコ,彈弓,工具,ToolSlingshot_Remake_0_0,200,"[{'count': 5, 'itemName': '硬木材'}]",['Nook商店'],
30,aroma pot,アロマポット,薰香台,小物件,FtrAlomapot_Remake_0_0,200,"[{'count': 3, 'itemName': '黏土'}]",['成熟型村民'],
32,mush table,キノコのテーブル,蘑菇桌,家具,FtrMushroomTableL_Remake_0_0,200,"[{'count': 2, 'itemName': '扁平蘑菇'}, {'count': 6, 'itemName': '木材'}]",['氣球'],僅在蘑菇季節期間獲得
33,tea table,ちゃぶだい,茶几,家具,FtrDiningtableJapan_Remake_0_0,200,"[{'count': 12, 'itemName': '硬木材'}]",['暴躁型村民'],
34,bonfire,キャンプファイア,營火,家具,FtrCampfire,200,"[{'count': 1, 'itemName': '炊火'}, {'count': 10, 'itemName': '木材'}]","['狸克', '暴躁型村民']",
35,ironwood table,アイアンウッドテーブル,鑄鐵木桌,家具,FtrIronwoodTableL_Remake_0_0,200,"[{'count': 12, 'itemName': '木材'}, {'count': 6, 'itemName': '鐵礦石'}]",['暴躁型村民'],
36,simple well,シンプルないど,簡約水井,家具,FtrWell,200,"[{'count': 15, 'itemName': '石頭'}, {'count': 1, 'itemName': '簡陋鏟子'}]",['哩數兌換'],
37,pot,かめ,甕,小物件,FtrKame_Remake_0_0,200,"[{'count': 5, 'itemName': '黏土'}]","['狸克', '暴躁型村民']",在村民房屋開發任務的主要故事情節中獲得
38,wooden-block toy,つみきのおもちゃ,積木玩具,小物件,FtrBlockBrick_Remake_0_0,200,"[{'count': 3, 'itemName': '軟木材'}]",['DIY初學者'],"從Nook商店購買""第一次的DIY方程式"""
41,birdhouse,すばこ,鳥巢屋,家具,FtrBirdhouse_Remake_0_0,200,"[{'count': 2, 'itemName': '木材'}, {'count': 5, 'itemName': '軟木材'}]","['狸克', '活力型村民']",
42,birdbath,バードバス,小鳥水盆,家具,FtrBirdbus_Remake_0_0,200,"[{'count': 6, 'itemName': '石頭'}]","['狸克', '成熟型村民']",50% chance of being obtained during the main storyline during the villager house development quest
43,ringtoss,わなげ,套圈圈,小物件,FtrQuoits_Remake_0_0,200,"[{'count': 2, 'itemName': '木材'}, {'count': 2, 'itemName': '軟木材'}]",['挑戰！DIY方程式'],Purchase Test Your DIY Skills from Nook's Cranny
44,acoustic guitar,アコースティックギター,木吉他,家具,FtrAcorsticguitar_Remake_0_0,200,"[{'count': 8, 'itemName': '軟木材'}, {'count': 3, 'itemName': '鐵礦石'}]",['自戀型村民'],
45,ukulele,ウクレレ,烏克麗麗,小物件,FtrUkulele_Remake_0_0,200,"[{'count': 5, 'itemName': '硬木材'}]",['自戀型村民'],
46,bamboo bench,たけのベンチ,竹長椅,家具,FtrBambooChairL_Remake_0_0,200,"[{'count': 8, 'itemName': '竹子材料'}]",['普通型村民'],
48,garden rock,よくあるにわいし,常見庭園石,家具,FtrGardenrock,200,"[{'count': 15, 'itemName': '石頭'}]",['悠閒型村民'],
49,tall garden rock,たかいにわいし,高聳庭園石,家具,FtrGardenrockTall,200,"[{'count': 60, 'itemName': '石頭'}]",['成熟型村民'],
51,mush lamp,キノコのランプ,蘑菇燈,家具,FtrMushroomLamp_Remake_0_0,200,"[{'count': 1, 'itemName': '瘦小蘑菇'}, {'count': 5, 'itemName': '黏土'}]",['氣球'],僅在蘑菇季節期間獲得
55,wave breaker,しょうはブロック,消波塊,家具,FtrTetrapod,200,"[{'count': 10, 'itemName': '石頭'}, {'count': 10, 'itemName': '黏土'}]",['哩數兌換'],
56,fruit basket,フルーツバスケット,水果籃,小物件,FtrFruitbasket,200,"[{'count': 1, 'itemName': '蘋果'}, {'count': 1, 'itemName': '梨子'}, {'count': 1, 'itemName': '櫻桃'}, {'count': 1, 'itemName': '橘子'}, {'count': 1, 'itemName': '桃子'}]",['暴躁型村民'],
57,rocking chair,ロッキングチェア,搖椅,家具,FtrRockingchair_Remake_0_0,200,"[{'count': 3, 'itemName': '木材'}, {'count': 5, 'itemName': '軟木材'}]",['挑戰！DIY方程式'],Purchase Test Your DIY Skills from Nook's Cranny
58,brick oven,いしがま,窯烤爐,家具,FtrStoneoven_Remake_0_0,200,"[{'count': 8, 'itemName': '黏土'}, {'count': 2, 'itemName': '鐵礦石'}, {'count': 6, 'itemName': '木材'}]",['這種東西也能自己做?!DIY'],"從Nook商店購買""這種東西也能自己做?!DIY"""
59,swinging bench,ベンチブランコ,鞦韆椅,家具,FtrSwingWood_Remake_0_0,200,"[{'count': 5, 'itemName': '木材'}, {'count': 7, 'itemName': '軟木材'}]","['挑戰！DIY方程式', '狸克']",Purchase Test Your DIY Skills from Nook's Cranny; 50% chance of being obtained during the main storyline during the villager house development quest
60,tire stack,つまれたタイヤ,輪胎堆,家具,FtrTyres_Remake_0_0,200,"[{'count': 3, 'itemName': '輪胎'}]",['釣到三個舊輪胎'],
61,wooden-block bed,つみきベッド,積木床鋪,家具,FtrBlockBedS_Remake_0_0,200,"[{'count': 1, 'itemName': '積木玩具'}, {'count': 17, 'itemName': '軟木材'}]",['普通型村民'],
62,wooden-block bookshelf,つみきブックシェルフ,積木書櫃,家具,FtrBlockShelf_Remake_0_0,200,"[{'count': 1, 'itemName': '積木玩具'}, {'count': 3, 'itemName': '軟木材'}]",['挑戰！DIY方程式'],Purchase Test Your DIY Skills from Nook's Cranny
63,iron garden bench,アイアンガーデンベンチ,鑄鐵花園長椅,家具,FtrIrongardenBench_Remake_0_0,200,"[{'count': 8, 'itemName': '鐵礦石'}]",['大姐姐型村民'],
64,iron garden chair,アイアンガーデンチェア,鑄鐵花園椅,家具,FtrIrongardenChair_Remake_0_0,200,"[{'count': 3, 'itemName': '鐵礦石'}]","['狸克', '大姐姐型村民']",50% chance of being obtained during the main storyline during the villager house development quest
65,iron garden table,アイアンガーデンテーブル,鑄鐵花園桌,家具,FtrIrongardenTable_Remake_0_0,200,"[{'count': 5, 'itemName': '鐵礦石'}]","['狸克', '大姐姐型村民']",50% chance of being obtained during the main storyline during the villager house development quest
66,trash bags,ゴミぶくろ,垃圾袋,小物件,FtrGarbagebag_Remake_0_0,200,"[{'count': 1, 'itemName': '空罐'}, {'count': 1, 'itemName': '長靴'}, {'count': 1, 'itemName': '輪胎'}]",['釣到三個垃圾'],
77,drinking fountain,みずのみば,飲水處,家具,FtrDrinkingfountain_Remake_0_0,200,"[{'count': 8, 'itemName': '石頭'}, {'count': 2, 'itemName': '鐵礦石'}]",['哩數兌換'],
78,tire toy,タイヤのゆうぐ,輪胎玩具,家具,FtrPlayingtire_Remake_0_0,200,"[{'count': 1, 'itemName': '輪胎'}]",['釣到一個舊輪胎'],
79,iron frame,てっこつ,鋼筋,家具,FtrIronframe_Remake_0_0,200,"[{'count': 20, 'itemName': '鐵礦石'}]",['運動型村民'],
80,natural garden chair,ナチュラルなガーデンチェア,自然風花園椅,家具,FtrGardenChairNatural_Remake_0_0,200,"[{'count': 6, 'itemName': '硬木材'}, {'count': 2, 'itemName': '鐵礦石'}]","['狸克', '活力型村民']",50% chance of being obtained during the main storyline during the villager house development quest
81,gold bars,きんののべぼう,金條,小物件,FtrGoldbar,200,"[{'count': 3, 'itemName': '金礦石'}]",['成熟型村民'],
82,mini DIY workbench,ちいさなDIYさぎょうだい,小型ＤＩＹ作業台,家具,FtrWorkbenchS_Remake_0_0,200,"[{'count': 3, 'itemName': '木材'}, {'count': 3, 'itemName': '硬木材'}, {'count': 3, 'itemName': '軟木材'}, {'count': 2, 'itemName': '鐵礦石'}]",['挑戰！DIY方程式'],Purchase Test Your DIY Skills from Nook's Cranny
83,ironwood chair,アイアンウッドチェア,鑄鐵木椅,家具,FtrIronwoodChairS_Remake_0_0,200,"[{'count': 3, 'itemName': '木材'}, {'count': 2, 'itemName': '鐵礦石'}]",['自戀型村民'],
84,ironwood low table,アイアンウッドローテーブル,鑄鐵木矮桌,家具,FtrIronwoodTableM_Remake_0_0,200,"[{'count': 6, 'itemName': '木材'}, {'count': 4, 'itemName': '鐵礦石'}]",['成熟型村民'],
85,ironwood cart,アイアンウッドワゴン,鑄鐵木收納推車,家具,FtrIronwoodServingcart_Remake_0_0,200,"[{'count': 6, 'itemName': '木材'}, {'count': 4, 'itemName': '鐵礦石'}]",['自戀型村民'],
86,ironwood dresser,アイアンウッドチェスト,鑄鐵木矮櫃,家具,FtrIronwoodChest_Remake_0_0,200,"[{'count': 7, 'itemName': '木材'}, {'count': 4, 'itemName': '鐵礦石'}]",['成熟型村民'],
87,ironwood bed,アイアンウッドベッド,鑄鐵木床鋪,家具,FtrIronwoodBedS_Remake_0_0,200,"[{'count': 20, 'itemName': '木材'}, {'count': 10, 'itemName': '鐵礦石'}]",['自戀型村民'],
89,wooden-block stereo,つみきコンポ,積木音響,家具,FtrBlockCompo_Remake_0_0,200,"[{'count': 1, 'itemName': '積木玩具'}, {'count': 5, 'itemName': '軟木材'}, {'count': 2, 'itemName': '鐵礦石'}]","['挑戰！DIY方程式', '狸克']",Purchase Test Your DIY Skills from Nook's Cranny; Obtained during the main storyline during the villager house development quest
90,wooden-block wall clock,つみきウォールクロック,積木壁鐘,壁掛物,FtrBlockClock_Remake_0_0,200,"[{'count': 1, 'itemName': '積木玩具'}, {'count': 2, 'itemName': '軟木材'}, {'count': 1, 'itemName': '鐵礦石'}]",['活力型村民'],
91,ironwood kitchenette,アイアンウッドキッチン,鑄鐵木廚房,家具,FtrIronwoodKitchen_Remake_0_0,200,"[{'count': 4, 'itemName': '木材'}, {'count': 3, 'itemName': '鐵礦石'}, {'count': 1, 'itemName': '鑄鐵木矮櫃'}, {'count': 1, 'itemName': '切菜板'}]",['這種東西也能自己做?!DIY'],"從Nook商店購買""這種東西也能自己做?!DIY"""
92,ironwood cupboard,アイアンウッドカップボード,鑄鐵木櫥櫃,家具,FtrIronwoodCupboard_Remake_0_0,200,"[{'count': 12, 'itemName': '木材'}, {'count': 6, 'itemName': '鐵礦石'}, {'count': 1, 'itemName': '鑄鐵木矮櫃'}]",['成熟型村民'],
94,ironwood clock,アイアンウッドクロック,鑄鐵木時鐘,壁掛物,FtrIronwoodClockW_Remake_0_0,200,"[{'count': 2, 'itemName': '木材'}, {'count': 2, 'itemName': '鐵礦石'}]",['自戀型村民'],
99,brick fence,レンガのカベ,磚塊柵欄,柵欄,ItemFenceWallRenga,200,"[{'count': 6, 'itemName': '黏土'}]",['哩數兌換'],
100,vertical-board fence,たていたのさく,直條木板柵欄,柵欄,ItemFenceVerticalWood,200,"[{'count': 8, 'itemName': '木材'}]",['哩數兌換'],
101,bamboo lattice fence,たけがき,竹柵欄,柵欄,ItemFenceBamboo,200,"[{'count': 6, 'itemName': '竹子材料'}]",['哩數兌換'],
102,rocking horse,もくば,木馬,家具,FtrRockinghorse_Remake_0_0,200,"[{'count': 5, 'itemName': '軟木材'}]",['普通型村民'],
103,tiki torch,たいまつ,火把,家具,FtrTorch,200,"[{'count': 5, 'itemName': '樹枝'}, {'count': 5, 'itemName': '木材'}]","['狸克', '暴躁型村民']",
104,stone stool,いしのスツール,石凳子,家具,FtrStoneChair,200,"[{'count': 3, 'itemName': '石頭'}]",['DIY初學者'],"從Nook商店購買""第一次的DIY方程式"""
105,stone table,いしのテーブル,石桌,家具,FtrStoneTable,200,"[{'count': 8, 'itemName': '石頭'}]","['狸克', '悠閒型村民']",50% chance of being obtained during the main storyline during the villager house development quest
107,ladder,はしご,梯子,工具,ToolLadder,200,"[{'count': 4, 'itemName': '木材'}, {'count': 4, 'itemName': '硬木材'}, {'count': 4, 'itemName': '軟木材'}]","['狸克', 'Nook商店']",在村民房屋開發任務的主要故事情節中獲得
110,log extra-long sofa,まるたのロングソファ,圓木長沙發,家具,FtrLogSofaL_Remake_0_0,200,"[{'count': 2, 'itemName': '圓木沙發'}]",['普通型村民'],
111,log round table,まるたのラウンドテーブル,圓木圓桌,家具,FtrLogTableLRound_Remake_0_0,200,"[{'count': 15, 'itemName': '硬木材'}]",['活力型村民'],
112,log bench,まるたのベンチ,圓木長椅,家具,FtrLogStoolL_Remake_0_0,200,"[{'count': 5, 'itemName': '硬木材'}]","['狸克', '普通型村民']",50% chance of being obtained during the main storyline during the villager house development quest
113,log garden lounge,まるたのガーデンベッド,圓木花園躺椅,家具,FtrLogBedS_Remake_0_0,200,"[{'count': 12, 'itemName': '硬木材'}]","['狸克', '活力型村民']",50% chance of being obtained during the main storyline during the villager house development quest
114,log decorative shelves,まるたのかざりだな,圓木裝飾架,家具,FtrLogShelf_Remake_0_0,200,"[{'count': 2, 'itemName': '圓木長椅'}, {'count': 3, 'itemName': '硬木材'}]",['普通型村民'],
115,log wall-mounted clock,まるたのかべかけどけい,圓木壁掛鐘,壁掛物,FtrLogClockWall_Remake_0_0,200,"[{'count': 2, 'itemName': '硬木材'}, {'count': 1, 'itemName': '鐵礦石'}]",['悠閒型村民'],
116,log stool,まるたのスツール,圓木凳子,家具,FtrLogStoolS_Remake_0_0,200,"[{'count': 4, 'itemName': '木材'}]","['狸克', '活力型村民']",50% chance of being obtained during the main storyline during the villager house development quest
117,log chair,まるたのソファ,圓木沙發,家具,FtrLogSofaS_Remake_0_0,200,"[{'count': 8, 'itemName': '硬木材'}]",['普通型村民'],
118,log dining table,まるたのダイニングテーブル,圓木餐桌,家具,FtrLogTableL_Remake_0_0,200,"[{'count': 15, 'itemName': '硬木材'}]","['狸克', '暴躁型村民']",50% chance of being obtained during the main storyline during the villager house development quest
119,log bed,まるたのベッド,圓木床鋪,家具,FtrLogBedW_Remake_0_0,200,"[{'count': 30, 'itemName': '硬木材'}]",['活力型村民'],
120,unglazed dish set,すやきのしょっき,素燒碗盤,小物件,FtrDishesUnglazed_Remake_0_0,200,"[{'count': 3, 'itemName': '黏土'}]",['成熟型村民'],
121,floral swag,スワッグ,倒掛乾燥花,壁掛物,FtrFlowerSwag_Remake_0_0,200,"[{'count': 10, 'itemName': '雜草'}]",['普通型村民'],
122,iron wall lamp,アイアンウォールランプ,鑄鐵壁燈,壁掛物,FtrIronLampW_Remake_0_0,200,"[{'count': 4, 'itemName': '鐵礦石'}, {'count': 2, 'itemName': '黏土'}]",['這種東西也能自己做?!DIY'],"從Nook商店購買""這種東西也能自己做?!DIY"""
123,iron wall rack,アイアンウォールラック,鑄鐵壁架,壁掛物,FtrIronShelfW_Remake_0_0,200,"[{'count': 3, 'itemName': '鐵礦石'}, {'count': 1, 'itemName': '黏土'}]",['自戀型村民'],
124,garden bench,ガーデンベンチ,花園長椅,家具,FtrParkbenche_Remake_0_0,200,"[{'count': 12, 'itemName': '木材'}, {'count': 4, 'itemName': '鐵礦石'}]",['成熟型村民'],
125,ironwood DIY workbench,アイアンウッドDIYテーブル,鑄鐵木DIY桌,家具,FtrWorkbenchIronwood_Remake_0_0,200,"[{'count': 12, 'itemName': '木材'}, {'count': 6, 'itemName': '鐵礦石'}, {'count': 1, 'itemName': '小型ＤＩＹ作業台'}]",['暴躁型村民'],
126,iron worktable,アイアンワークテーブル,鑄鐵工作桌,家具,FtrIronTableM_Remake_0_0,200,"[{'count': 10, 'itemName': '鐵礦石'}]",['大姐姐型村民'],
128,iron shelf,アイアンシェルフ,鑄鐵櫃,家具,FtrIronShelf_Remake_0_0,200,"[{'count': 14, 'itemName': '鐵礦石'}]",['大姐姐型村民'],
130,golden candlestick,おうごんのしょくだい,黃金燭台,小物件,FtrGoldCandlestand,200,"[{'count': 2, 'itemName': '金礦石'}]",['自戀型村民'],
131,golden dishes,おうごんのしょっき,黃金餐具,小物件,FtrGoldDishes,200,"[{'count': 1, 'itemName': '金礦石'}]",['成熟型村民'],
132,Libra scale,リブラのてんびん,天秤,小物件,FtrZodiacLibra,200,"[{'count': 3, 'itemName': '星星碎片'}, {'count': 2, 'itemName': '天秤座碎片'}, {'count': 2, 'itemName': '金礦石'}]",['傅珂'],
133,golden seat,おうごんのベンチ,黃金長椅,家具,FtrGoldbench,200,"[{'count': 5, 'itemName': '金礦石'}]",['成熟型村民'],
136,mush log,キノコのげんぼく,蘑菇樹幹,家具,FtrMushroomPulpwood_Remake_0_0,200,"[{'count': 2, 'itemName': '瘦小蘑菇'}, {'count': 1, 'itemName': '圓木凳子'}]",['氣球'],僅在蘑菇季節期間獲得
138,mush partition,キノコのスクリーン,蘑菇屏風,家具,FtrMushroomScreen_Remake_0_0,200,"[{'count': 3, 'itemName': '瘦小蘑菇'}]",['氣球'],僅在蘑菇季節期間獲得
139,mush parasol,キノコのパラソル,蘑菇陽傘,家具,FtrMushroomParasol_Remake_0_0,200,"[{'count': 3, 'itemName': '扁平蘑菇'}]",['氣球'],僅在蘑菇季節期間獲得
140,frozen arch,こおりのアーチ,冰拱門,家具,FtrIceGate_Remake_0_0,200,"[{'count': 1, 'itemName': '大雪花'}, {'count': 10, 'itemName': '雪花'}]",['雪人'],製作完美的雪人；僅在冬季期間獲得
141,frozen sculpture,こおりのアート,冰裝置藝術,家具,FtrIceArt_Remake_0_0,200,"[{'count': 1, 'itemName': '大雪花'}, {'count': 4, 'itemName': '雪花'}]",['雪人'],製作完美的雪人；僅在冬季期間獲得
142,frozen chair,こおりのイス,冰椅子,家具,FtrIceChairS_Remake_0_0,200,"[{'count': 1, 'itemName': '大雪花'}, {'count': 3, 'itemName': '雪花'}]",['雪人'],製作完美的雪人；僅在冬季期間獲得
143,frozen counter,こおりのカウンター,冰吧台,家具,FtrIceCounter_Remake_0_0,200,"[{'count': 1, 'itemName': '大雪花'}, {'count': 5, 'itemName': '雪花'}]",['雪人'],製作完美的雪人；僅在冬季期間獲得
145,frozen tree,こおりのツリー,冰樹木,家具,FtrIceTree_Remake_0_0,200,"[{'count': 1, 'itemName': '大雪花'}, {'count': 8, 'itemName': '雪花'}]",['雪人'],製作完美的雪人；僅在冬季期間獲得
146,frozen table,こおりのテーブル,冰桌,家具,FtrIceTableL_Remake_0_0,200,"[{'count': 1, 'itemName': '大雪花'}, {'count': 8, 'itemName': '雪花'}]",['雪人'],製作完美的雪人；僅在冬季期間獲得
147,frozen partition,こおりのパーテーション,冰隔板,家具,FtrIceScreen_Remake_0_0,200,"[{'count': 1, 'itemName': '大雪花'}, {'count': 6, 'itemName': '雪花'}]",['雪人'],製作完美的雪人；僅在冬季期間獲得
148,frozen pillar,こおりのはしら,冰柱子,家具,FtrIcePillar_Remake_0_0,200,"[{'count': 1, 'itemName': '大雪花'}, {'count': 4, 'itemName': '雪花'}]",['雪人'],製作完美的雪人；僅在冬季期間獲得
149,frozen bed,こおりのベッド,冰床鋪,家具,FtrIceBedW_Remake_0_0,200,"[{'count': 1, 'itemName': '大雪花'}, {'count': 10, 'itemName': '雪花'}]",['雪人'],製作完美的雪人；僅在冬季期間獲得
151,bamboo wall decoration,たけのいちりんざし,竹花瓶,壁掛物,FtrBambooFlowerwall_Remake_0_0,200,"[{'count': 1, 'itemName': '竹子材料'}]",['運動型村民'],
152,bamboo basket,たけのかご,竹籃,家具,FtrBambooBasket_Remake_0_0,200,"[{'count': 7, 'itemName': '竹子材料'}]",['成熟型村民'],
153,bamboo candleholder,たけのキャンドルホルダー,竹製燭台,小物件,FtrBambooCandle_Remake_0_0,200,"[{'count': 3, 'itemName': '竹子材料'}, {'count': 2, 'itemName': '黏土'}]",['成熟型村民'],
154,bamboo stopblock,たけのくるまどめ,竹製擋車墩,家具,FtrBambooCarstop_Remake_0_0,200,"[{'count': 3, 'itemName': '竹子材料'}]",['運動型村民'],
155,bamboo shelf,たけのシェルフ,竹製多寶架,家具,FtrBambooShelf_Remake_0_0,200,"[{'count': 15, 'itemName': '竹子材料'}]",['成熟型村民'],
157,bamboo partition,たけのスクリーン,竹屏風,家具,FtrBambooScreen_Remake_0_0,200,"[{'count': 7, 'itemName': '竹子材料'}, {'count': 6, 'itemName': '石頭'}]",['暴躁型村民'],
158,bamboo doll,たけのビックリばこ,竹製驚嚇箱,家具,FtrBambooSurprisedbox,200,"[{'count': 6, 'itemName': '春筍'}]",['氣球'],僅在春季期間獲得
159,bamboo floor lamp,たけのフロアスタンド,竹製落地燈,家具,FtrBambooLamp_Remake_0_0,200,"[{'count': 8, 'itemName': '竹子材料'}]",['普通型村民'],
160,wooden-block chair,つみきチェア,積木椅,家具,FtrBlockChairS_Remake_0_0,200,"[{'count': 1, 'itemName': '積木玩具'}, {'count': 3, 'itemName': '軟木材'}]",['挑戰！DIY方程式'],Purchase Test Your DIY Skills from Nook's Cranny
161,cherry speakers,さくらんぼのスピーカー,櫻桃廣播喇叭,小物件,FtrFruitsMusic_Remake_0_0,200,"[{'count': 10, 'itemName': '櫻桃'}, {'count': 2, 'itemName': '鐵礦石'}]","['活力型村民', '狸克']",Obtained during the main storyline during the villager house development quest if the native fruit is cherries
